ID,Name,Screen Size (inches),Memory,SSD,GPU,Brand,Operating System,CPU,Color,Resolution,Series,FullName,,,,,
25,"HP EliteBook 840 G3 14"" Laptop",14,,,Intel HD Graphics,HP,Windows10Pro,Intel Core i5 6th Gen,Gray,1366x768,EliteBook,"HP EliteBook 840 G3 14"" Laptop, Intel Core i5, 16GB, 256GB SSD, Win10 Pro.",,,,,
26,Hasee Z8 (15.6'',15.6,16,512,NVIDIA GeForce RTX 3060,Hasee,Windows11Home,Intel Core i7 11th Gen,Black,1920x1080,Z8,"Hasee Z8 (15.6'', i7-11800H, RTX3060), Gaming Laptop, i7-11800H 4.6GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 15.6'' 144Hz 1920x1080 FHD IPS Display, RGB KB, WF, BT, Win11, Ore Black",,,,,
27,Hasee T8 (16'',16,16,1024,NVIDIA GeForce RTX 3060,Hasee,Windows11Home,Intel Core i9 12th Gen,Black,2560x1600(2.5K),T8,"Hasee T8 (16'', i9-12900H, RTX3060), Gaming Laptop, i9-12900H 5.0GHz, 16G DDR4 RAM, 1T NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 16'' 2.5K 165Hz IPS Display, RGB KB, WiFi 6, BT 5.2, Win 11, Obsidian Black",,,,,
28,"Acer Swift X Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 5 5600U | NVIDIA RTX 3050 Laptop GPU | 8GB LPDDR4X | 512GB NVMe SSD | Wi-Fi 6 | Backlit Keyboard | Windows 11 Home SFX14-41G-R7YT",14,8,512,NVIDIA GeForce RTX 3050,Acer,Windows11Home,AMD Ryzen 5 5000 Series,Safari Gold,,Swift X,"Acer Swift X Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 5 5600U | NVIDIA RTX 3050 Laptop GPU | 8GB LPDDR4X | 512GB NVMe SSD | Wi-Fi 6 | Backlit Keyboard | Windows 11 Home SFX14-41G-R7YT",,,,,
29,"MSI - 15.6"" 165 Hz - Intel Core i9 13th Gen 13900H (2.60GHz) - NVIDIA GeForce RTX 4070 Laptop GPU - 32 GB DDR5 - 1 TB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Pulse 15 B13VGK-287US )",15.6,32,1024,NVIDIA GeForce RTX 4070,MSI,Windows11Home,Intel Core i9 13th Gen,Black,2560x1440,,"MSI - 15.6"" 165 Hz - Intel Core i9 13th Gen 13900H (2.60GHz) - NVIDIA GeForce RTX 4070 Laptop GPU - 32 GB DDR5 - 1 TB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Pulse 15 B13VGK-287US )",,,,,
30,Lenovo Newest IdeaPad Laptop,14,20,1024,AMD Radeon Graphics,Lenovo,Windows11Pro,AMD Ryzen 7,Gray,1920x1200,,"Lenovo Newest IdeaPad Laptop, 14 FHD (1920 x 1080), AMD Ryzen 7 5700U (Beats i7-1265U), 20GB RAM, 1TB SSD, FP Reader, Backlit KB, Webcam, Wi-Fi 6, HDMI, SD Card Reader, Windows 11 Pro",,,,,
31,"MSI GE Series - 17.3"" 360 Hz IPS - Intel Core i7 12th Gen 12700H (2.30GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 32 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Raider GE76 12UGS-201 )",17.3,32,1024,NVIDIA GeForce RTX 3070 Ti,MSI,Windows11Home,Intel Core i7 12th Gen,Titanium Blue,1920x1080,GE Series,"MSI GE Series - 17.3"" 360 Hz IPS - Intel Core i7 12th Gen 12700H (2.30GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 32 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Raider GE76 12UGS-201 )",,,,,
32,"Acer Nitro 5 - 15.6"" 165 Hz IPS - AMD Ryzen 7 6000 Series 6800H (3.20GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 16 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (AN515-46-R5XN )",15.6,16,1024,NVIDIA GeForce RTX 3070 Ti,Acer,Windows11Home,AMD Ryzen 7 6000 Series,Obsidian Black,2560x1440,Nitro 5,"Acer Nitro 5 - 15.6"" 165 Hz IPS - AMD Ryzen 7 6000 Series 6800H (3.20GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 16 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (AN515-46-R5XN )",,,,,
33,Lenovo Notebook IdeaPad 1 Laptop,14,4,,Intel UHD Graphics,,,,,,,"Lenovo Notebook IdeaPad 1 Laptop,   UHD Graphics 605, 128GB eMMC",,,,,
34,"MSI - 17.3"" 144 Hz IPS - AMD Ryzen 7 7000 Series 7735HS (3.20GHz) - NVIDIA GeForce RTX 4060 Laptop GPU - 32 GB DDR5 - 1 TB PCIe SSD - Windows 11 Pro 64-bit - Gaming Laptop (Bravo 17 C7VFK-039US )",17.3,32,1024,NVIDIA GeForce RTX 4060,MSI,Windows11Pro,AMD Ryzen 7 7000 Series,Black,1920x1080,,"MSI - 17.3"" 144 Hz IPS - AMD Ryzen 7 7000 Series 7735HS (3.20GHz) - NVIDIA GeForce RTX 4060 Laptop GPU - 32 GB DDR5 - 1 TB PCIe SSD - Windows 11 Pro 64-bit - Gaming Laptop (Bravo 17 C7VFK-039US )",,,,,
