ID,Name,Display Size,RAM (GB),Storage,GPU,Brand,Operating System,CPU,Color,Screen Resolution,Series
707,"HP 2022 Stream 14inch HD Display, Intel Celeron N4120 Quad-Core Processor,4GB DDR4 Memory,128GB Storage(64GB eMMC+64GB Card),WiFi,Bluetooth, Webcam,HDMI,Microsoft 365, Win11 S, Snow White|TGCD Bundle",?14,?4,?64,?Intel HD Graphics 600,?HP,?Windows11,?Intel,?Snow White,?1366x768,?Stream
708,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
709,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
710,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
711,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
712,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
713,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
714,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
715,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
716,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
717,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
718,"Lenovo 15.6'' IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11, Grey",?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
719,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
720,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
721,"Lenovo IdeaPad Gaming 3 Laptop, 15.6” 120 Hz FHD Display, AMD Ryzen 7 7735HS, NVIDIA GeForce RTX 4050, 32GB DDR5 RAM, 1TB SSD, Backlit KB, Wi-Fi 6, RJ-45, HDMI, Windows 11 Home, Grey",?15.6,?32,?1024,?NVIDIA GeForce RTX 4050,?Lenovo,?Windows11Home,?AMD,?Gray,?1920x1080,?IdeaPad Gaming 3 15ARH7
722,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
723,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
724,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
725,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
726,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
727,"Ruzava 14"" Laptop 6GB RAM 64GB Storage Support 1TB SSD Expansion Traditional Laptops Windows 10 2.4G+5G WiFi Bluetooth 4.2 USB HDMI 1920x1080 FHD WOZIFAN with Wireless Mouse for Work Study - Gray",?14,?6,?64,?Intel N4020,?Ruzava,?Windows10,?Intel,?W5-Gray,?1920x1080,
728,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
729,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
730,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
731,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
732,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
733,"Lenovo 15.6'' IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11, Grey",?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
734,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
735,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
736,Lenovo 15.6'' IdeaPad ,?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
737,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
738,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
739,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
740,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
741,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
742,Lenovo 15.6'' IdeaPad ,?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
743,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
744,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
745,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
746,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
747,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
748,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
749,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
750,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
751,Lenovo 15.6'' IdeaPad ,?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
752,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
753,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
754,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
755,Dell Inspiron 7630 ,?16,?32,?,?NVIDIA GeForce RTX 3050,?Dell,?Windows11Pro,?Intel,?Silver,?2560x1600,?Dell Inspiron 16 7630 Laptop
756,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
757,"Lenovo 15.6"" IdeaPad ",?15.6,?20,?1024,?Intel UHD Graphics,?Lenovo,?Windows11S,?Intel,?Abyss Blue,?1920x1080,??Lenovo IdeaPad
758,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
759,"Lenovo 15.6'' IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11, Grey",?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
760,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
761,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
762,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
763,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
764,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
765,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
766,"SGIN Laptop, 15.6 Inch Windows 11 Laptops with 24GB DDR4 512GB SSD Laptops Computer, Intel Celeron N5095 Processor(Up to 2.9GHz), FHD 1920x1080, Mini HDMI, Webcam, USB 3.0, 2.4/5.0G WiFi, Type-C",?15.6,?24,?512,?Integrated,?SGIN,,?Intel,?Gray,,
767,"Dell Inspiron 7630 Laptop - Intel Core i7-13700H, 16-inch 16:10 2.5K Display, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6, Services Included, Windows 11 Pro - Silver",?16,?32,?,?NVIDIA GeForce RTX 3050,?Dell,?Windows11Pro,?Intel,?Silver,?2560x1600,?Dell Inspiron 16 7630 Laptop
768,"SGIN 15.6 Inch 12GB DDR4 512GB SSD (TF 512GB) Laptop, Windows 11 Laptops with Intel Celeron N5095 Processor(Up to 2.9GHz), FHD 1920x1080 with Webcam, USB 3.0, WiFi, Bluetooth 4.2(Gray)",?15.6,?12,?512,?Integrated,?SGIN,?Windows11,?Intel,?Burgundy,?1920x1080,
769,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
770,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
771,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
772,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
773,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
774,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
775,"14"" ",?14,?6,?64,?Intel N4020,?Ruzava,?Windows10,?Intel,?W5-Gray,?1920x1080,
776,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
777,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
778,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
779,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
780,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
781,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
782,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
783,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
784,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
785,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
786,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
787,"Ruzava 14"" Laptop 6GB RAM 64GB Storage Support 1TB SSD Expansion Traditional Laptops Windows 10 2.4G+5G WiFi Bluetooth 4.2 USB HDMI 1920x1080 FHD WOZIFAN with Wireless Mouse for Work Study - Gray",?14,?6,?64,?Intel N4020,?Ruzava,?Windows10,?Intel,?W5-Gray,?1920x1080,
788,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
789,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
790,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
791,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
792,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
793,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
794,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
795,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
796,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
797,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
798,"14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
799,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
800,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
801,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
802,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
803,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
804,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
805,"Ruzava 14"" ",?14,?6,?64,?Intel N4020,?Ruzava,?Windows10,?Intel,?W5-Gray,?1920x1080,
806,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
807,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
808,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
809,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
810,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
811,"Bmax Y11Plus 2 in 1 Laptop, Touchscreen, Quad Core N5100(up to 2.8GHz), 8GB LPDDR4, 256GB SATA SSD 11.6"" FHD (1920 x 1080) Display, 360 Degree Convertible, Type-C, Windows 10, HDMI, All-Metal Body",?11.6,?,?256,?Intel Celeron N5100,?Bmax,?Windows10,?Intel,?Y11 Plus,?1920x1080,?Y11 Plus
