ID,Name,Price ($),Rating,Number of Ratings,Product Info
1570,"Refurbished DELL Grade A Laptop Latitude Intel Core i7 8th Gen 8665U (1.90GHz) 16GB Memory 512 GB SSD Intel UHD Graphics 14.0"" Touchscreen Windows 11 Pro 64-bit 7400",539.99,,,Type: Work / BusinessResolution: 1920 x 1080Graphics Card: Intel UHD GraphicsWebcam: YesModel #: J5-7400A12Item #: N82E16834343843Return Policy: Standard Return Policy
1571,"HP Laptop EliteBook 840 G8 Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro (available through downgrade rights from Windows 11 Pro) 613P",799.99,,,Type: Work / BusinessResolution: 1920 x 1080Weight: 2.92 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: 613P7UT#ABLItem #: 9SIAADFJVP7214Return Policy: View Return Policy
1572,"ASUS VivoBook 15 Business Laptop, 11th Gen Intel Core i3-1115G4 2-Cores Processor, Intel Iris Xe Graphics, 8GB DDR4  512GB PCIe SSD, 15.6'' FHD Touchscreen, WiFi, Bluetooth, Webcam, Windows 11",519,rated 4.4 out of 5,111,Type: Home / PersonalResolution: 1920 x 1080Weight: 5 - 5.9 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: ASUS15i3pu-017Item #: 9SIBMCUJVY2522Return Policy: View Return Policy
1573,"HP Pavilion Laptop, 15.6"" FHD Touchscreen Display, Intel Core i7-1255U Processor, 32GB RAM, 1TB SSD, HDMI, Webcam, Wi-Fi 6, Backlit KB, Fingerprint Reader, Windows 11 Home, Silver","$1,059.00 ",,,Type: Home / PersonalResolution: 1920 x 1080Weight: 3.86 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: 196188348796Return Policy: View Return Policy
1574,"LincPlus 14"" Laptop Computer FHD 1920 x 1080 Display,4GB Memory 64GB eMMC,Portable and Lightweight Aluminium Notebook, Windows 10 in S Notebook White",229,,,Type: Home / PersonalResolution: 1920x1080Graphics Card: Intel Celeron N3350WLAN: 802.11 a/b/g/n/ac Wireless LANModel #: LincPlus-1409Item #: 9SIATEUEBZ7291Return Policy: View Return Policy
1575,"Open Box GIGABYTE AERO 16 XE5 - 16"" 4K/UHD+ AMOLED - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB - 16GB DDR5 RAM - 1TB SSD - Win11 Home - Creator & Gaming Laptop (AERO 16 XE5-73US934HH)","$2,449.00 ",,,Resolution: 3840 x 2400Weight: 5.07 lbs.Color: SilverOperating System: Windows 11 Home 64-bitModel #: AERO 16 XE5-73US934HHItem #: N82E16834233529RReturn Policy: Standard Return Policy
1576,"Dell Latitude 5420 14"" Full HD Business Laptop,11th Gen Intel Core i5-1145G7 Processor,16GB DDR4,512GB SSD,Intel Iris Xe Graphics,Wifi-AX,Bluetooth 5,HDMI,ThunderBolt,Windows 10 Pro",799,,,Type: Work / BusinessResolution: 1920 x 1080Weight: 3.2Graphics Card: Intel Iris Xe GraphicsModel #: DELLLAT5420i516512SD45Item #: 9SIAE4NJ0A9889Return Policy: View Return Policy
1577,"MSI GF63 15 Gaming Laptop Computer I 15.6"" FHD IPS Display I Intel Quad-Core i5-9300H I Geforce GTX 1650 Max-Q I 16GB DDR4  1TB PCIe SSD I Backlit KB Bluetooth 5.0 Webcam Win10",799.79,rated 4.7 out of 5,3,Resolution: 1920 x 1200Color: BlackCPU: i5-9300HGraphics Card: GTX 1650 Max-QModel #: 9SC-6533791Return Policy: View Return Policy
1578,"Acer Aspire 5 A515-56-36UT Slim Laptop | 15.6"" Full HD Display | 11th Gen Intel Core i3-1115G4 Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Amazon Alexa | Windows 10 Home (S Mode)",449.97,rated 5 out of 5,1,Type: Home / PersonalResolution: 1920 x 1080Graphics Card: Intel UHD GraphicsPart Number: NX.AASAA.001-NWModel #: A515-56-36UTReturn Policy: View Return Policy
1579,"Refurbished Dell Latitude E6520 15.6"" 1600x900 HD+ Laptop PC, Intel Core i5-2520M 2.5GHz, 8GB DDR3 RAM, 256GB SSD, Win-10 Pro x64/ NO WEBCAM/ NVIDIA NVS 4200M Grade B+",159,,,Type: Everyday ValueResolution: 1600X900Weight: 8 - 8.9 lbs.Graphics Card: Intel HD Graphics 3000+ NVIDIA Quadro 4200MModel #: 782248426872Return Policy: View Return Policy
1580,"Dell Inspiron 7620, 16 inch 3K QHD+ 3072 x 1920 Laptop,12th Gen Intel Core i7-12700H 14-Core Processor,32GB DDR5 RAM,1TB SSD,Intel HD Graphics,Wifi-AX, BlueTooth,HDMI,Windows 11 Pro","1,099.99",,,Type: Work / BusinessResolution: 3072 x 1920Weight: 4.5Graphics Card: Intel HD GraphicsModel #: DELL7620321TBSDNWZItem #: 9SIAKA9JJY3180Return Policy: View Return Policy
1581,"Lenovo Ideapad 5i 14"" FHD Laptop, Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Windows 11 Home, Graphite Gray, 82FE00UFUS
Notebook",609.89,,,Part Number: 82FE00UFUSNumber of Cores: Single-core ProcessorDisplay Type: Full HDRefresh Rate: Anti-glare HzModel #: 82FE00UFUSReturn Policy: View Return Policy
1582,"Lenovo X1 Yoga Gen 6 (ThinkPad), 2 in 1, Laptop, 14"" WQUXGA 4K, Touchscreen, Core i7 11th Gen., Iris Xe, 16GB, 512GB PCIe, Cam, Backlit KBD, Fingerprint, Windows 10 Pro, 2-Yr Lenovo WTY- 20Y0S3QU00",,,,
1583,"Lenovo Thinkpad 13 FHD (1920x1080) 13.3"" IPS Grade A Business Laptop, Intel 7th Gen Celeron 3865U Professor, 1.8GHz Base Frequency, 16GB DDR4 RAM, 256GB SSD, Wi-Fi, Bluetooth, Windows 10 Pro 64-bit",,,,
1584,"HP EliteBook 830 G6 13.3"" FHD Grade A Business Laptop, Intel Core i7-8665U Processor, 1.9GHz Base Frequency, 8GB DDR4 RAM, 512GB Solid State Drive, Wi-Fi, Bluetooth, Camera, Windows 10 Pro 64 bit",,,,
1585,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H, 64GB RAM, 2TB PCIe SSD, GTX 1650 Ti) Mobile Workstation Laptop, 2 x Thunderbolt 3, Backlit, Fingerprint, Windows 10 Pro","2,049.99",,2,
1586,"Lenovo Thinkpad T480s 14"" Full HD 1920 x 1080 Ultrabook- 8th Gen Intel QUAD Core i5-8350U 1.7GHz  16 GB RAM DDR4 512 GB SSD,Wi-Fi, Bluetooth, Webcam Windows 10 Pro",269.9,,,
1587,"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, for Education, Gaming, Business, Windows10 Pro 64 bit",279.9,,,
1588,"HP 17 Business Laptop 17.3"" HD+ Touchscreen 12th Gen (Intel i7-1255U 10-Core 1.70GHz, Intel Iris Xe, 32GB RAM, 1TB PCIe SSD, Backlit KB, WiFi 6, Bluetooth 5.2, Webcam, Win 11 Pro)","1,119.99",rated 3 out of 5,1,Type: Work / BusinessResolution: 1600 x 900Memory Speed: DDR4WLAN: 802.11ax Wireless LANModel #: ME-144370225949Return Policy: View Return Policy
1589,"Lenovo IdeaPad 3 Laptop, 15.6"" IPS FHD Touch Display, Intel Core i5-1135G7 Upto 4.2GHz, 12GB RAM, 256GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home S (82H8018SUS)",798,,,Type: Content CreationResolution: 1920 x 1080Weight: 3 - 3.9 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: IdPad3Ti511-12256nHReturn Policy: View Return Policy
1590,"Lenovo IdeaPad 3 Laptop, 15.6"" IPS FHD Touch Display, Intel Core i5-1135G7 Upto 4.2GHz, 12GB RAM, 256GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro S",799.99,,,Type: Content CreationResolution: 1920 x 1080Weight: 3 - 3.9 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: IdPad3Ti511-12256nPReturn Policy: View Return Policy
1591,"Lenovo IdeaPad 3 Laptop, 15.6"" IPS FHD Touch Display, Intel Core i5-1135G7 Upto 4.2GHz, 12GB RAM, 512GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro S",849.99,,,Type: Content CreationResolution: 1920 x 1080Weight: 3 - 3.9 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: IdPad3Ti511-12512nPReturn Policy: View Return Policy
